Seq,PassOrFail,Injection_Time,Filling_Time,Plasticizing_Time,Plasticizing_Position,Max_Injection_Speed,Max_Screw_RPM,Max_Switch_Over_Pressure,Max_Back_Pressure,Hopper_Temperature
3931,1,1.059999943,0.934038826,12.94788368,53.57788418,128.3000031,30.84038762,116.0807752,55.95961239,66.08077522
627,1,1.059999943,0.937466932,12.98240063,53.57506595,128.3000031,30.79999924,116.2240102,56,66.14933636
7807,1,9.564792685,4.454792532,16.92000008,68.83999634,55.65622121,30.8041479,136.3917059,37.1479257,67.09999847
1426,1,9.445279362,4.329999924,16.9411182,68.84943903,60.74720343,30.75279657,136.8944084,36.81677886,67.5279661
533,0,9.56000042,4.440000057,16.63999939,68.33999634,55.40000153,30.70000076,136.3000031,37.79999924,66.09999847
7016,1,11.48999977,6.369999886,16.75,68.58999634,45.09999847,30.5,144.1999969,43.70000076,64.30000305
6276,0,9.600000381,4.489999771,16.86000061,68.58999634,55.40000153,30.70000076,136.6999969,38.20000076,66.90000153
1255,1,1.059999943,0.930000007,12.95640151,53.58820123,128.3000031,30.81799152,116.0539772,55.96401543,65.94602281
3761,0,1.059999943,0.939999998,12.93999958,53.58000183,128.1999969,31,116.0999985,55.70000076,66.5
647,0,9.590000153,4.480000019,16.55999947,68.34999847,54.90000153,30.70000076,136.5,38.29999924,65.30000305
243,1,10.82999992,5.71999979,16.81999969,68.58000183,45.40000153,31.10000038,142.6999969,71.90000153,63.79999924
3414,0,9.579999924,4.46999979,16.54999924,68.33000183,55,30.60000038,136.5,38.20000076,65.40000153
4356,0,1.059999943,0.939999998,12.96000004,53.59000015,128.1999969,30.79999924,116.3000031,56.09999847,66
5169,1,9.563452458,4.443452178,16.92690415,68.83999634,55.79999924,30.7345218,136.2208299,37.03452137,67.43095726
2869,0,1.059999943,0.939999998,12.96000004,53.56999969,128.1999969,30.89999962,116.4000015,55.90000153,65.90000153
5275,1,1.059999943,0.936687685,12.93331238,53.56662616,128.3000031,30.89999962,116.2331221,55.86687761,66.03438117
1482,1,1.059999943,0.931285409,12.95614386,53.57257056,128.2871482,30.89999962,116.0385625,55.79999924,65.33573136
5627,1,1.070000052,0.946861637,13.13686192,53.62058519,127.2627655,30.86861596,118.7686176,57.70584885,63.35478109
